,,,Substation_1,Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Full_name,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Eula - Roehrsdorf 203,11TD8L203------C,50HERTZ,Eula,Roehrsdorf,220,,,,,,,790,,,4.09,18.35,161.16,51.51,
Roehrsdorf - Weida 207,11TD8L207------H,50HERTZ,Roehrsdorf,Weida,220,,,,,,,790,,,7.59,31.89,348.72,98.32,
Eula - Weida 208,11TD8L208------9,50HERTZ,Eula,Weida,220,,,,,,,1070,,,5.05,19.54,264.24,67.55,
Bentwisch - Guestrow 275,11TD8L275------7,50HERTZ,Bentwisch,Guestrow,220,,,,,,,1200,,,1.91,12.06,158.08,41.42,
Wuhlheide - Thyrow 291,11TD8L291------L,50HERTZ,Wuhlheide,Thyrow,220,,,,,,,960,,,2.97,11.19,266.78,38.88,
Hennigsdorf - Wustermark 295,11TD8L295------Q,50HERTZ,Hennigsdorf,Wustermark,220,,,,,,,1070,,,0.55,6.85,129.12,27.40,
Marzahn - Wuhlheide 301,11TD8L301------I,50HERTZ,Marzahn,Wuhlheide,220,,,,,,,1070,,,0.55,2.49,37.07,9.11,
Marzahn - Wuhlheide(Abzweig) 302/1,11TD8L302------A,50HERTZ,Marzahn,Wuhlheide (Abzweig),220,,,,,,,960,,,0.55,2.48,37.07,9.11,
Wuhlheide (Abzweig) - Thyrow 302/2,11TD8L302------A,50HERTZ,Wuhlheide (Abzweig),Thyrow,220,,,,,,,960,,,2.97,11.19,153.12,38.88,
Bertikow - Neuenhagen303,11TD8L303------2,50HERTZ,Bertikow,Neuenhagen,220,,,,,,,1070,,,4.85,24.01,371.34,86.32,
Neuenhagen - Vierraden 304,11TD8L304------V,50HERTZ,Neuenhagen,Vierraden,220,,,,,,,1070,,,6.10,28.00,437.31,100.76,
Bertikow - Pasewalk 305,11TD8L305------N,50HERTZ,Bertikow,Pasewalk,220,,,,,,,900,,,2.29,8.78,109.99,29.47,
Vierraden - Pasewalk 306,11TD8L306------F,50HERTZ,Vierraden,Pasewalk,220,,,,,,,1070,,,4.92,18.12,230.91,61.89,
Lubmin - Luedershagen 313,11TD8L313------U,50HERTZ,Lubmin,Luedershagen,220,,,,,,,1200,,,2.82,16.33,214.38,56.21,
Lubmin - Luedershagen 314,11TD8L314------M,50HERTZ,Lubmin,Luedershagen,220,,,,,,,1200,,,2.82,16.33,214.38,56.21,
Pasewalk - Guestrow 315,11TD8L315------E,50HERTZ,Pasewalk,Guestrow,220,,,,,,,900,,,12.12,44.31,572.40,151.14,
Pasewalk - Guestrow 316,11TD8L316------6,50HERTZ,Pasewalk,Guestrow,220,,,,,,,900,,,12.12,44.31,572.40,151.14,
Luedershagen - Guestrow 317-276,11TD8L317-276--N,50HERTZ,Luedershagen,Guestrow,220,,,,,,,1200,,,6.59,31.38,404.45,106.54,
Luedershagen - Bentwisch 318,11TD8L318------R,50HERTZ,Luedershagen,Bentwisch,220,,,,,,,1200,,,4.69,19.40,247.34,65.35,
Parchim/Sued - Guestrow 328,11TD8L328------I,50HERTZ,Parchim/Sued,Guestrow,220,,,,,,,900,,,15.50,57.56,196.22,52.32,
Eula - Wolkramshausen 357,11TD8L357-----0Y,50HERTZ,Eula,Wolkramshausen,220,,,,,,,1070,,,12.21,46.85,600.04,159.15,
Eula - Wolkramshausen 358,11TD8L358------S,50HERTZ,Eula,Wolkramshausen,220,,,,,,,1070,,,12.21,46.85,600.04,159.15,
Vieselbach - Wolkramshausen 367,11TD8L367------R,50HERTZ,Vieselbach,Wolkramshausen,220,,,,,,,1600,,,2.54,19.59,245.67,65.76,
Vieselbach - Wolkramshausen 368,11TD8L368------J,50HERTZ,Vieselbach,Wolkramshausen,220,,,,,,,1600,,,2.54,19.59,245.67,65.76,
Vieselbach - Remptendorf - Grossschwabhausen 415,11TD8L415------4,50HERTZ,Vieselbach,Remptendorf - Grossschwabhausen,400,,,,,,,2720,,,3.00,19.63,338.10,77.55,
Vieselbach - Remptendorf 416,11TD8L416------X,50HERTZ,Vieselbach,Remptendorf,400,,,,,,,2720,,,3.02,19.71,339.54,77.55,
Kruemmel - Goerries 419,11TD8L419------9,50HERTZ,Kruemmel,Goerries,400,,,,,,,,2720,3000,2.21,22.41,389.09,87.47,
Kruemmel - Wessin 420,11TD8L420------Z,50HERTZ,Kruemmel,Wessin,400,,,,,,,,2720,3000,2.96,28.52,495.71,111.42,
Goerries - Guestrow 423,11TD8L423------B,50HERTZ,Goerries,Guestrow,400,,,,,,,,2720,3000,2.24,18.24,311.99,71.58,
Wessin - Guestrow 424,11TD8L424------3,50HERTZ,Wessin,Guestrow,400,,,,,,,,2720,3000,1.47,12.01,205.24,47.10,
Wolmirstedt - Foerderstedt 437,11TD8L437------7,50HERTZ,Wolmirstedt,Foerderstedt,400,,,,,,,2520,,,1.34,12.79,209.55,48.55,
Wolmirstedt - Foerderstedt 438,11TD8L438-----0Y,50HERTZ,Wolmirstedt,Foerderstedt,400,,,,,,,2520,,,1.34,12.79,209.58,48.55,
Eisenach - Vieselbach 454,11TD8L454------D,50HERTZ,Eisenach,Vieselbach,400,,,,,,,2520,,,1.89,18.95,306.53,72.29,
